id,LOCATION,AGE,HEIGHT,WEIGHT,WINGSPAN,X0.10M,X0.30M,X0.40M,X30.40M,TRIPLE.BROAD.JUMP,SINGLE.BROAD.JUMP,ABSOLUTE.6SEC.PEAK.POWER,RELATIVE.6SEC.PEAK.POWER,UB.PUSH,UB.PULL,LB.PUSH,CONCEPT.TOTAL,ARM.LEG.BIKE,NA.,HEIGHT.1,WEIGHT.1,WINGSPAN.1,X0.10M.1,X0.30M.1,X0.40M.1,X30.40M.1,TRIPLE.BROAD.JUMP.1,SINGLE.BROAD.JUMP.1,ABSOLUTE.6SEC.PEAK.POWER.1,RELATIVE.6SEC.PEAK.POWER.1,UB.PUSH.1,UB.PULL.1,LB.PUSH.1,CONCEPT.TOTAL.1,ARM.LEG.BIKE.1,CUMULATIVE..PHYSICAL.TESTS.
30,AB,17.7,188.5,71.8,187,1.87,4.63,5.96,1.33,7.37,2.3,996,13.8718663,350,514,598,1462,76,#N/A,1.002646961,-0.46926279,-0.008922734,-1.290662657,-1.518001709,-1.314730762,-0.79239002,-1.19737399,-1.618440327,-1.066624369,-0.9644171,-0.459797319,0.082947438,-0.816217173,-0.490281868,0.733248772,-0.64671099
31,AB,21,181.5,76.5,183,1.8,4.26,5.41,1.15,8.11,2.69,1270,16.60130719,336,477,738,1551,80,#N/A,0.108090159,-0.082521433,-0.454615542,-0.644962357,-0.287591113,-0.197453384,-0.017997178,-0.350315797,-0.094264418,0.005493627,0.118218484,-0.609235701,-0.206433799,-0.083939,-0.258818014,1.536369005,0.169600059
32,Quebec,17.4,188.5,76.4,194.7,1.74,4.23,5.45,1.22,9.32,2.86,1291,16.89790576,277,494,815,1586,75,#N/A,1.002646961,-0.090749972,0.84903592,-0.091504957,-0.188581833,-0.278709921,-0.31914995,1.034738817,0.570119953,0.087663254,0.235864617,-1.239011737,-0.073474853,0.318813994,-0.167792903,0.532468714,0.271313865
33,BC,17,188.5,72,188,1.55,3.91,5.02,1.11,8.72,2.83,1079,14.98611111,318,478,712,1508,72,#N/A,1.002646961,-0.452805711,0.102500467,1.661110143,0.880659581,0.594797848,0.154090121,0.347934876,0.452875652,-0.741858699,-0.522450729,-0.801370763,-0.198612685,-0.219933518,-0.370648865,-0.06987146,-0.004047666
34,AB,22.1,174.5,86.3,183,1.93,4.21,5.31,1.1,8.64,2.91,1340,15.52723059,408,578,868,1854,64,#N/A,-0.786466643,0.723875439,-0.454615542,-1.844120057,-0.118506894,0.005687958,0.197111945,0.256361018,0.765527121,0.279392385,-0.307815121,0.159304547,0.583498766,0.596033588,0.529199377,-1.676111925,-0.238535739
35,BC,18,170,70,183.5,1.71,3.98,5.04,1.06,9.13,2.88,1146,16.37142857,332,443,777,1552,72,#N/A,-1.361538873,-0.617376501,-0.398903941,0.185223743,0.650083487,0.55416958,0.369199244,0.817250903,0.64828282,-0.479698459,0.02703689,-0.651932381,-0.472351693,0.120052776,-0.256217296,-0.06987146,0.214473723
36,AB,18.2,170,64.6,171.5,1.57,3.83,4.9,1.07,9.36,3.02,1080,16.71826625,344,380,779,1503,72,#N/A,-1.361538873,-1.061717635,-1.735982364,1.476624343,1.154719538,0.838567458,0.326177419,1.080525747,1.19542289,-0.73794586,0.164610419,-0.52384234,-0.965081907,0.130513893,-0.383652452,-0.06987146,0.326035942
37,Quebec,16.2,180,75.6,182,1.74,3.99,5.07,1.08,9.14,2.87,1276,16.87830688,439,451,883,1773,72,#N/A,-0.083600584,-0.156578289,-0.566038744,-0.091504957,0.625062189,0.493227177,0.283155594,0.828697635,0.609201386,0.028970663,0.2280907,0.49020382,-0.409782776,0.674491964,0.318541263,-0.06987146,0.359737063
38,BC,17,181,74.3,194.5,1.53,3.9,5.04,1.14,8.9,2.71,1284,17.28129206,424,450,706,1580,68,#N/A,0.044193244,-0.263549302,0.82675128,1.845595943,0.928964198,0.55416958,0.025024647,0.553976059,-0.016101551,0.060273378,0.387935193,0.330091268,-0.417603891,-0.251316868,-0.183397208,-0.872991693,0.087938386
39,BC,15,171.5,60.4,170.5,1.58,3.91,5.04,1.13,8.15,2.6,860,14.2384106,288,400,537,1225,64,#N/A,-1.16984813,-1.407316295,-1.847405566,1.384381443,0.899905277,0.55416958,0.068046472,-0.304528867,-0.44599732,-1.598770528,-0.81902692,-1.121595866,-0.808659616,-1.135281233,-1.106651907,-1.676111925,-0.670430008
